Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 144-PH-58-GCBB , EC Moore , 144-PH-58-GCBB ,"Paper Discs Pin Hole Center 5/8"" Garnet Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-58-GCBB,https://www.dcdental.com/images/706476347655.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-58-GFBB , EC Moore , 144-PH-58-GFBB ,"Paper Discs Pin Hole Center 5/8"" Garnet Fine 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-58-GFBB,https://www.dcdental.com/images/641078736332.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-58-GMBB , EC Moore , 144-PH-58-GMBB ,"Paper Discs Pin Hole Center 5/8"" Garnet Medium 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-58-GMBB,https://www.dcdental.com/images/753872243821.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-58-GXCBB , EC Moore , 144-PH-58-GXCBB ,"Paper Discs Pin Hole Center 5/8"" Garnet X-Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-58-GXCBB,https://www.dcdental.com/images/340732186185.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-58-SCBB , EC Moore , 144-PH-58-SCBB ,"Paper Discs Pin Hole Center 5/8"" Sand Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-58-SCBB,https://www.dcdental.com/images/370352011109.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 144-PH-78-ECBB , EC Moore , 144-PH-78-ECBB ,"Paper Discs Pin Hole Center 5/8"" Emery Coarse 300/Pk","Available in the same paper and grits as Moore's Brass Center Discs. Six sizes
are available: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", and 7/8"". Moore's Pin Hole Discs
are also available in a convenient spindle stand, or in an economical 525 disc
assortment.

", Supplies ,Finishing & Polishing,Pk,300,https://www.dcdental.com/Paper-Discs-Pin-Hole-Center-PH-78-ECBB,https://www.dcdental.com/images/406257127338.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1847018C , Dentsply Sirona - Midwest , 428-1847018C ,Midwest ONCE Sterile Diamond Burs 847-018C 25/Pk,"Tapered sides and flat end provide flat margins and convergent sides in crown
preparations. Also provides flat floors and divergent walls for inlay and
onlay preparations.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1847018C,https://www.dcdental.com/images/487124843322.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1847018SC , Dentsply Sirona - Midwest , 428-1847018SC ,Midwest ONCE Sterile Diamond Burs 847-018SC 25/Pk,"Tapered sides and flat end provide flat margins and convergent sides in crown
preparations. Also provides flat floors and divergent walls for inlay and
onlay preparations.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1847018SC,https://www.dcdental.com/images/407462320644.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1848016C , Dentsply Sirona - Midwest , 428-1848016C ,Midwest ONCE Sterile Diamond Burs 848-016C 25/Pk,"Tapered sides and flat end provide flat margins and convergent sides in crown
preparations. Also provides flat floors and divergent walls for inlay and
onlay preparations.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1848016C,https://www.dcdental.com/images/264787421209.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1848018M , Dentsply Sirona - Midwest , 428-1848018M ,Midwest ONCE Sterile Diamond Burs 848-016M 25/Pk,"Tapered sides and flat end provide flat margins and convergent sides in crown
preparations. Also provides flat floors and divergent walls for inlay and
onlay preparations.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1848018M,https://www.dcdental.com/images/558675858520.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1848018SC , Dentsply Sirona - Midwest , 428-1848018SC ,Midwest ONCE Sterile Diamond Burs 848-016SC 25/Pk,"Tapered sides and flat end provide flat margins and convergent sides in crown
preparations. Also provides flat floors and divergent walls for inlay and
onlay preparations.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1848018SC,https://www.dcdental.com/images/317734832150.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-1889009F , Dentsply Sirona - Midwest , 428-1889009F ,Midwest ONCE Sterile Diamond Burs 889-009F 25/Pk,"The shaped ends of these diamonds allow delicate interproximal cutting.
Effective on buccal and lingual surfaces in breaking contact.

", Supplies ,Burs & Diamonds,Pk,25,https://www.dcdental.com/Midwest-Once-1889009F,https://www.dcdental.com/images/733318415159.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 194-HM36R-012-FG , Meisinger , 194-HM36R-012-FG ,Meisinger Carbide Burs Crown Cutter FG 1958 5/Pk,"MEISINGER's Carbides are defined by their superior construction and ability to
consistently yield precise results. Their remarkable strength and enhanced
blade geometry provide both an optimal working performance and an extended
service life. Made in Germany, these instruments are held to Germany's high-
quality manufacturing standards to ensure practices are receiving an
instrument they can trust.

  * Superior Construction: Consistently yields precise clinical results
  * Enhanced Blade Geometry: Allows for intricate, efficient cutting
  * Remarkable Strength: Provides optimal working performance and an extended service life

", Supplies ,Burs & Diamonds,Pk,5,https://www.dcdental.com/Metal-Cutting-Carbides-HM36R-012-FG,https://www.dcdental.com/images/508510307553.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 194-HM36R-012-SU , Meisinger , 194-HM36R-012-SU ,Meisinger Carbide Burs Crown Cutter FGXL 1958 5/Pk,"MEISINGER's Carbides are defined by their superior construction and ability to
consistently yield precise results. Their remarkable strength and enhanced
blade geometry provide both an optimal working performance and an extended
service life. Made in Germany, these instruments are held to Germany's high-
quality manufacturing standards to ensure practices are receiving an
instrument they can trust.

  * Superior Construction: Consistently yields precise clinical results
  * Enhanced Blade Geometry: Allows for intricate, efficient cutting
  * Remarkable Strength: Provides optimal working performance and an extended service life

", Supplies ,Burs & Diamonds,Pk,5,https://www.dcdental.com/Metal-Cutting-Carbides-HM36R-012-SU,https://www.dcdental.com/images/733411534504.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 809-EXPL23-DG16 , A Titan , 809-EXPL23-DG16 ,Explorer DE #23/DG16 Standard Handle,"Double ended Explorer with a shepards hook #23 end for decay detection, and
DG-16 endodontic explorer on the other end.

", Supplies ,Instruments,DG,23,https://www.dcdental.com/Explorer-DE-23-DG16-Standard-Handle,https://www.dcdental.com/images/822218414383.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-ACT-461 , Acteon , 326-ACT-461 ,Sensor Holder Bite Blocks Size-1 16/Pk,"16 pack of bite blocks size 1 (4 each: Anterior, Posterior, Vertical and
Horizontal Bitewings)

", Supplies ,X-Ray,Pk,16,https://www.dcdental.com/Sensor-Holder-Bite-Blocks-Size-1-16-Pk,https://www.dcdental.com/images/276440464607.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 326-ACT-462 , Acteon , 326-ACT-462 ,Sensor Holder Bite Blocks Size-2 16/Pk,"16 pack of bite blocks size 2 (4 each: Anterior, Posterior, Vertical and
Horizontal Bitewings)

", Supplies ,X-Ray,Pk,16,https://www.dcdental.com/Sensor-Holder-Bite-Blocks-Size-2-16-Pk,https://www.dcdental.com/images/736144710344.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 199-FPCK01 , Garrison , 199-FPCK01 ,Rally Composite Mini Polishers Kit 60/Pk,"With zero reprocessing and sterilization hassles and a lustrous diamond final
gloss, Rally™ single patient composite mini-polishers get you across the
finish line and on to your next patient.  
  
Get to the point – Every time! Single patient polisher means that you get a
clean, fresh, properly shaped polisher every time.

  * Mini, but mighty! Rally’s small size and tapered shaft create a truly agile polisher capable of reaching the smallest anatomical features without blocking your visibility.
  * Give your mechanic the day off! (Maybe your assistant too!) Rally™ is fully assembled – no little mandrels to lose track of, no discs to snap on, there’s just nothing you need to mess with – including cleaning and sterilization.
  * A clean get-a-way! You don’t want to leave a trail of crumbs or spattered polishing paste on the track. Rally’s diamond impregnated high shine final polishers won’t crumble during use and don’t require paste to create a beautiful, durable shine.

", Supplies ,Finishing & Polishing,Pk,60,https://www.dcdental.com/Rally-Composite-Mini-Polishers-Kit-60-Pk,https://www.dcdental.com/images/333654754303.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-PCNC15/12 , Hu-Friedy , 616-PCNC15/12 ,Periodontal Probe DE UNC15/12 Color Coded,"Used to assess periodontal pocket depths, attachment levels, anatomy
configurations and gingival bleeding.

", Supplies ,Instruments,,,https://www.dcdental.com/Periodontal-Probe-DE-UNC15-12-Color-Coded,https://www.dcdental.com/images/608402564801.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 428-8135301 , Dentsply Sirona - Preventives , 428-8135301 ,Cavitron Ultrasonic Scaler G90 Handpiece Cable 66' Gray,"For dental professionals striving for greater comfort and control, only
Cavitron systems deliver Tap-On Technology— the next big step in ultrasonic
scaling. Tap-On Technology is designed to reduce leg and ankle discomfort
associated with continued foot pedal usage. Finer water control allows for
more precise and convenient adjustment of lavage on the handpiece to the
preferred setting. Additional power option include single-push turbo mode for
up to 25% greater power and hands-free boost activation by pressing the pedal
to the floor. Extended Low Power Range, BlueZone, designed for improved
patient comfort.

", Supplies ,Small Equipment,,,https://www.dcdental.com/Cavitron-Ultrasonic-Scaler-G90-Handpiece-Cable-66-Gray,https://www.dcdental.com/images/440026235350.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 159-7000360 , Keystone , 159-7000360 ,The Trap,"The Trap’s top drain valve and all metal construction eliminate the need for
costly plumbing, clean-ups and repairs. The compact design of the trap is
ideal for all dental lab and dental office sub-sink areas. The built in
viewing window eliminates the guess work of when it’s time to change the
liner. Comes with a 10-year warranty.

", Supplies ,Laboratory Products,,,https://www.dcdental.com/The-Trap-7000360,https://www.dcdental.com/images/775716221710.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 865-P0042-150 , Kerr Rotary , 865-P0042-150 ,NTI Silicone Polishers HP Knife Edge 10/Pk Brown,"NTI® Polishers are the choice of dental professionals worldwide and are
offered in a variety of shapes, sizes and shanks for adjusting and polishing
on ceramics, composites, acrylics, alloys and gold. It is recommended that
NTI® Polishers be used in sequence with slower speed and lighter pressure to
achieve the highest polish possible. Polishing pastes are also available for
the final polish on ceramics or composite.

", Supplies ,Finishing & Polishing,Pk Brown,10,https://www.dcdental.com/NTI-Polishers-P0042-150,https://www.dcdental.com/images/153440388501.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 761-AEOVSSL7 , American Eagle Instrument , 761-AEOVSSL7 ,Cassette Slim Line 7 (w/o Rack),"Cassette Slim Line 7 (w/o Rack)Holds

  * 7 instruments
  * Measures 7""x 2.5"" x 3/4""

", Supplies ,Organizing,,,https://www.dcdental.com/Compact-Cassette-AEOVSSL7,https://www.dcdental.com/images/506170874859.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 804-Q8001 , B Braun , 804-Q8001 ,0.9% Sodium Chloride Injection 500mL,"0.9% Sodium Chloride Injection USP is indicated for extracellular fluid
replacement, treatment of metabolic alkalosis in the presence of fluid loss
and mild sodium depletion.

", Supplies ,Surgical Products,,,https://www.dcdental.com/Sodium-Chloride-0.9-Q8001,https://www.dcdental.com/images/145331163113.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-C063-1 , Shofu Dental Corp. , 145-C063-1 ,Gingicurettage Diamonds C063-1 Each,"For crown and bridge preparation and grinding of tooth stumps.

", Supplies ,Burs & Diamonds,,,https://www.dcdental.com/Gingicurettage-Diamonds-C063-1-Each,https://www.dcdental.com/images/523055408725.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-C082-1 , Shofu Dental Corp. , 145-C082-1 ,Gingicurettage Diamonds C082-1 Each,"For crown and bridge preparation and grinding of tooth stumps

", Supplies ,Burs & Diamonds,,,https://www.dcdental.com/Gingicurettage-Diamonds-C082-1-Each,https://www.dcdental.com/images/575121660742.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-C083-1 , Shofu Dental Corp. , 145-C083-1 ,Gingicurettage Diamonds C083-1 Each,"For crown and bridge preparation and grinding of tooth stumps.

", Supplies ,Burs & Diamonds,,,https://www.dcdental.com/Gingicurettage-Diamonds-C083-1-Each,https://www.dcdental.com/images/285322674348.01.png?resizeid=2&resizeh=600&resizew=600
